visit_date,waterpoint_name,waterpoint_type,latitude,longitude,govt_staff_available,committee_permission,functionality_survey,status_changed,photo_waterpoint,water_available,latrines_within_50m,cemetery_within_50m,waste_within_50m,river_within_50m,lake_within_50m,flood_area,difficult_access,flowrate_possible,flowrate_seconds,strokes_to_discharge,water_available_today,reason_no_water,seasonal_variation,when_no_water,pumphead_disassemble,reason_no_disassemble,reason_no_disassemble_other,install_date,borehole_age,pump_manufacturer,pump_manufacturer_other,drilling_contractor,install_depth,static_water_level,pumping_test_info,drilling_report_info,water_quality_info,repaired_before,repair_attempts,borehole_issues,borehole_issues_other,operational_feel,operational_feel_other,parts_for_repair,photo_parts
2/6/2020,Chiradzulu trading borehole,Borehole or tubewell,-15.699839,35.1843317,Yes,Yes,Yes,Yes,https://api.mwater.co/v3/images/bbb0e0df929e4a46afae416db498a85f,Yes,Yes,No,No,Yes,No,No,No,Yes,76.101,13,Yes,NA,No,NA,Yes,NA,NA,9/1/2001,19,Ajay,NA,Mozagua,32,NA,No,No,No,Yes,Countless times,Other,"Cylinder not ok, cupseal not ok",Normal/satisfactory,NA,"Pump Head, Cup Seal , Fulcrum Pin, Rods, Civil works, Apron",https://api.mwater.co/v3/images/8857037d61b7459696d528ca9a7337ad; https://api.mwater.co/v3/images/93fa669a39974dd488bf694e7f5fcd48; https://api.mwater.co/v3/images/9ee3085c01a14bb48a2fcb9f38360a32; https://api.mwater.co/v3/images/6307b17a465347379e5853498dedf1b8; https://api.mwater.co/v3/images/a007740c0dba42299343fb9984bd6875
2/10/2020,Chanje 1  borehole,Borehole or tubewell,-15.7679489,35.2658377,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/0e0d8a6496d04a8b92bfa7ca9844f52c,Yes,No,No,No,No,No,No,No,Yes,71.419,8,Yes,NA,No,NA,Yes,NA,NA,9/10/2013,9,Other,Indo afro industries,China Ghasu,52,226,Yes,Yes,Yes,Yes,More than twice,Other,Fast waring parts such as bush bearings and load centilizers,Significant sideways movement on handle (loose/wobbly),NA,"Cup Seal , Fulcrum Pin, Bush Bearings, Centralisers",https://api.mwater.co/v3/images/45b5e40d207e4ce6b371f8161d29e669; https://api.mwater.co/v3/images/edd84687a02b49abbe49406f5e3c5a98; https://api.mwater.co/v3/images/830cd0766b5c4fcbb083b691ac5609d6; https://api.mwater.co/v3/images/27a3368afa6140f39e5ad971c0c5dc4a; https://api.mwater.co/v3/images/324ee0af8f0a4e8e8d95b776864ad200
2/10/2020,Baluwa2 borehole,Borehole or tubewell,-15.7626039,35.2596398,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/78213ad7d1aa45a78d45ff7949ab7b40,Yes,No,No,No,No,No,No,No,Yes,79.673,5,Yes,NA,No,NA,Yes,NA,NA,2/21/2014,6,Apex International,NA,Mozagua,48,121,Yes,Yes,Yes,Yes,More than 4 times,Other,Work out parts such as road centilizers and bush bearing and fulcrum pin,Significant sideways movement on handle (loose/wobbly),NA,"Bush Bearings, Fulcrum Pin, Centralisers",https://api.mwater.co/v3/images/fa4085c66170401cac3b982bfddfd7d2; https://api.mwater.co/v3/images/29afa2c6fbc04b03ab64f69c9f46ca4a; https://api.mwater.co/v3/images/92b8a444a4244f7389d89c1191309a4c; https://api.mwater.co/v3/images/5e7b0546cbca45e38c228f93dfc225bc
2/10/2020,Nkupu borehole 3,Borehole or tubewell,-15.6752459,35.1952452,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/9b787b3223214ecda92f4d18d4464f9e,No,No,No,No,Yes,No,No,No,NA,NA,NA,No,Vandalism,Yes,"August, September, October, November",No,Other,Vandorised water point,9/17/2014,6,Could Not Determine (No plaque available),NA,Kayeleso,45,NA,No,No,No,No,More than 4 times,Not enough water to meet 250 people demand,NA,Other,No handle,NA,https://api.mwater.co/v3/images/36dfffca720d4259ade7611acb3e253a
2/10/2020,Nkupu borehole 4,Borehole or tubewell,-15.673584,35.1944046,Yes,Yes,Yes,Yes,https://api.mwater.co/v3/images/d7a5b7dbb29b48478294cb1e81c960a2,No,No,No,No,Yes,No,No,No,NA,NA,NA,No,"System is down for maintenance or repair, Theft, Vandalism",Yes,"August, September, October, November, December",No,Other,No Head pump is available due to vandalism,2/19/2015,5,Could Not Determine (No plaque available),NA,Unknown,NA,NA,No,No,No,Yes,More than 4 times,Not enough water to meet 250 people demand,NA,Other,No handle,NA,https://api.mwater.co/v3/images/471736eb2817478a94afbb44e716572d
2/10/2020,Ndanga 3 borehole,Borehole or tubewell,-15.7675495,35.2509629,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/29e97a5f5c1a4f86b70341bc7e7f0472,Yes,Yes,No,No,No,No,No,No,Yes,59.088,4,Yes,NA,No,NA,Yes,NA,NA,5/15/2013,7,Maya Engineering,NA,Islamic relief Aid,46,27,Yes,Yes,Yes,Yes,More than 4 times,Other,The parts easly worn out such as pipes,Significant sideways movement on handle (loose/wobbly),NA,"Bush Bearings, Pipe, Centralisers",https://api.mwater.co/v3/images/d42d4b0ec0104421a9a963be411fdd67; https://api.mwater.co/v3/images/0b684670f1784d9ba94dd50867040948
2/10/2020,Chingombe borehole 3,Borehole or tubewell,-15.6515247,35.1918826,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/81207211ac564cb08c7744dc8599e922,No,No,No,No,No,No,No,Yes,NA,NA,NA,No,"System is down for maintenance or repair, Theft, Vandalism",Don't know,NA,No,Other,No pump head available due to vandalism,1/1/2014,6,Could Not Determine (No plaque available),NA,Unknown,45,NA,No,No,No,Yes,Countless times,Other,Vandalism,Other,No handle available,NA,https://api.mwater.co/v3/images/75e3c04b5426415ea3636f12b15f4956
2/10/2020,Baluwa2 borehole,Borehole or tubewell,-15.7626039,35.2596398,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/c13ac91467b6480080f259ef6ef8c5c4,Yes,No,No,No,No,No,No,No,Yes,79.635,5,Yes,NA,No,NA,Yes,NA,NA,2/21/2014,6,Apex International,NA,DAPP,48,12,Yes,Yes,Yes,Yes,"Countless times, More than 4 times",Other,Wornout parts such as bush bearings and centilizers,Significant sideways movement on handle (loose/wobbly),NA,"Bush Bearings, Centralisers, Fulcrum Pin",https://api.mwater.co/v3/images/f78b81b3fbfd4014bf85155697b82e65; https://api.mwater.co/v3/images/9e74b04311bb4b50893cb4b6a58f48a5; https://api.mwater.co/v3/images/212adee06aad4e7f83cf928f6c69d27c
2/10/2020,Mwanje Primary school borehole,Borehole or tubewell,-15.6539479,35.1930795,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/d3af7bc14ae74669ac2745b4770c14bf,Yes,No,No,No,No,No,No,No,Yes,65.762,4,Yes,NA,Yes,"July , August, September, October, November",Yes,NA,NA,10/30/2014,6,Other,ESS  Enterprises  (Malawi),Unknown,NA,6,No,No,No,Yes,Countless times,"Not enough water to meet 250 people demand, Other",Low yield,Significant sideways movement on handle (loose/wobbly),NA,"Bush Bearings, Rods, Centralisers",https://api.mwater.co/v3/images/6b57fcb76606486ab8860d780876f9ed; https://api.mwater.co/v3/images/a39cbd04489448f1bba9d06b716852ad
2/10/2020,Ngokwe borehole 1,Borehole or tubewell,-15.7689054,35.2439548,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/4eac06c78f14403d92fb203754ce118d,No,No,No,No,No,No,No,No,NA,NA,NA,No,Theft,No,NA,No,Other,It's no longer there due to theft,9/12/2015,5,Other,It's not there( pump head and cover),China Ghasu,51,NA,Yes,Yes,Yes,Yes,Countless times,Other,Theft,Other,Only pedestal is left,NA,https://api.mwater.co/v3/images/a9f8a423633f406597350a593e991073
2/10/2020,Sitimoya borehole,Borehole or tubewell,-15.6773547,35.1983052,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/33538e4863a64c42b8a38f6e276f65ff,No,No,No,No,No,No,No,No,NA,NA,NA,No,"System is down for maintenance or repair, Theft, Vandalism",Don't know,NA,No,Other,Vandalised hand pump,11/4/2013,7,Could Not Determine (No plaque available),NA,Unknown,NA,NA,No,No,No,Yes,More than 4 times,Other,Vandalism,Other,No handle available due to vandalism,NA,https://api.mwater.co/v3/images/21af9b88e6b74466a41cd2d982af87d9
2/11/2020,Sitimoya borehole 3,Borehole or tubewell,-15.6727753,35.1964553,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/763264c2065744b49b004cdef571970f,Yes,Yes,No,No,No,No,No,No,Yes,65.26,1,Yes,NA,No,NA,Yes,NA,NA,7/4/2018,2,Apex International,NA,Evrflesh,39,584,Yes,Yes,Yes,Yes,More than 4 times,"It is not straight, Some collapsing happened in the borehole",NA,Normal/satisfactory,NA,Centralisers,https://api.mwater.co/v3/images/b86b0c0143c84e2b83effd9f90f42edc; https://api.mwater.co/v3/images/746bba5efced4833bf588c52da36e798
2/11/2020,Masanjala borehole 2,Borehole or tubewell,-15.6752919,35.2205322,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/943f61e8a3f347d4b0e154a61650fee0,Yes,Yes,No,No,No,No,No,No,Yes,54.279,3,Yes,NA,No,NA,Yes,NA,NA,9/1/1998,22,AOV International,NA,Unknown,NA,822,No,No,No,Yes,Countless times,Other,No any other issues,Normal/satisfactory,NA,"Apron, Civil works, Centralisers, Bush Bearings",https://api.mwater.co/v3/images/4d0f1b01da5340a3a53093f4b92b56a9; https://api.mwater.co/v3/images/97e62b7a27734384ad53ad89abcd6322
2/11/2020,Liundi  borehole 1,Borehole or tubewell,-15.685171800000001,35.2178016,Yes,Yes,Yes,Yes,https://api.mwater.co/v3/images/2a771e31a1204bf9adca84ca67aec9ca,No,No,No,No,No,No,No,No,NA,NA,NA,No,Theft,No,NA,No,Other,Pump head has been stolen,9/15/2014,6,Other,Unknown,Kayeleso,NA,NA,No,No,No,Yes,Countless times,Other,No any other issues,Other,No handle available,NA,https://api.mwater.co/v3/images/a84745fb32fc4163b012b72dc7fcc959
2/11/2020,Chisawo borehole 2,Borehole or tubewell,-15.6860032,35.2157101,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/3c82fba04136459b9756cee19aedc655,Yes,Yes,No,No,No,No,No,No,Yes,48.073,5,Yes,NA,No,NA,Yes,NA,NA,11/12/2013,7,Apex International,NA,KCL,NA,270,No,No,No,Yes,Countless times,Other,No any other issues,Significant sideways movement on handle (loose/wobbly),NA,Bush Bearings,https://api.mwater.co/v3/images/0a8fdfc5ba094fb7b6e908c5354479fa
2/11/2020,Mtetemera mosque  borehole,Borehole or tubewell,-15.762543,35.2631471,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/e59c6b5f69f54f5a930f1e776aee3b18,Yes,Yes,No,No,No,No,No,No,Yes,62.419,4,Yes,NA,No,NA,Yes,NA,NA,9/10/2016,4,Maya Engineering,NA,Islamic relief,46,221,Yes,Yes,Yes,No,Not even once,Other,Wornout parts such centilizers and bush bearing,Normal/satisfactory,NA,"Bush Bearings, Centralisers",https://api.mwater.co/v3/images/19cccdcd736f4b01a5e7a8422b71aada; https://api.mwater.co/v3/images/bbaad1e4662c4448804bbfc88489cdda
2/11/2020,Mtalika,Borehole or tubewell,-15.7753442,35.2446739,Yes,Yes,Yes,No,https://api.mwater.co/v3/images/324f876404e84030a8272212675140be,Yes,Yes,No,No,No,No,No,No,Yes,61.951,2,Yes,NA,No,NA,Yes,NA,NA,5/26/2016,4,Apex International,NA,China Ghasu,46,212,Yes,Yes,Yes,Yes,More than twice,Other,Wornout parts such as centralisers,Significant friction (very stiff) at all times,NA,Centralisers,https://api.mwater.co/v3/images/b38a825c7373405b8db56fbcf9de9e0a; https://api.mwater.co/v3/images/eab8bfea2bfa4ff784d5d2e160b42352
